driver_number,Posição Mínima,Posição Máxima,Posição Média,Número de Registros
1,1,20,6.78396668401874,7684
2,1,20,11.38982785602504,6390
3,1,20,10.97234262125903,4845
4,1,20,8.108116918396176,9203
10,1,20,10.25722820868452,9373
11,1,20,8.683972911963883,8860
12,1,20,11.328125,64
14,1,20,9.321497740477728,9294
16,1,20,8.023502897617515,9318
18,1,20,10.484015703869883,8915
20,1,20,11.00431672422299,8108
21,1,20,11.834574468085107,1880
22,1,20,10.88696705960119,9077
23,1,20,10.500956708921311,8362
24,1,20,12.148365679264556,7832
27,1,20,10.730365012995819,8849
28,5,20,12.863636363636363,22
29,4,20,10.956521739130435,69
30,1,20,11.539325842696629,1335
31,1,20,10.684222819105454,8563
34,1,20,10.64516129032258,155
36,9,20,14.210526315789474,38
37,2,20,12.476190476190476,84
38,1,20,10.024590163934427,122
39,3,20,12.75268817204301,93
40,1,20,12.038815117466802,979
41,9,19,14.5,34
42,3,19,11.445945945945946,74
43,1,20,12.226464779460171,1519
44,1,20,9.009511507750117,8516
45,3,20,13.14516129032258,62
46,10,20,15.409090909090908,22
50,1,20,11.835595776772248,663
55,1,20,8.020800181859514,8798
61,1,20,13.902777777777779,288
63,1,20,8.535041360294118,8704
77,1,20,11.032472324723248,8130
81,1,20,8.986814950699381,8722
97,3,20,12.028985507246377,69
98,4,20,14.040816326530612,49
